Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2017,26,23.2,,,68,76,643,4.3
2018,27,22.7,,,70,73,646,3.6
2019,28,22.1,,,74,66,671,1.9
