PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
"Cole(L, 2-1)",5.0,5,5,3,2,7,1,2.95
Trivino,2.0,1,0,0,0,1,0,0.00
Castro,1.0,0,0,0,0,2,0,0.00
Germán,1.0,0,0,0,2,1,0,0.00
,9.0,6,5,3,4,11,1,
