PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Darvish(L, 7-4)",6.0,8,5,5,0,10,3,3.53
Kerr,0.1,0,2,2,3,0,0,9.00
Stammen,0.2,0,0,0,0,0,0,3.52
"Hill, T",1.0,0,0,0,0,0,0,4.98
,8.0,8,7,7,3,10,3,
