BATTERS - LAD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
TurnerSS,3,1,1,1,1,1,0,.306,.838
"Freeman, F1B",3,2,2,1,1,0,0,.307,.893
"Smith, W.D.C",3,1,1,1,1,0,3,.260,.817
Muncy2B,3,0,0,1,0,2,0,.166,.627
"Turner, J3B",3,2,2,2,0,1,0,.229,.685
BellingerCF,4,0,0,0,0,1,2,.208,.662
LambDH,3,0,1,1,0,0,0,.375,1.194
"a-Barnes, APH-DH",1,0,0,0,0,0,0,.188,.695
"Taylor, ChRF",2,0,0,0,0,2,1,.239,.728
"Thompson, TRF",2,0,0,0,0,1,0,.227,.641
LuxLF,4,1,1,0,0,2,0,.291,.750
,31,7,8,7,3,10,6,,
