PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
Ryan,4.0,4,3,3,3,5,0,3.70
"Jax(W, 7-3)",1.0,0,0,0,1,1,0,3.28
Thielbar,1.0,0,0,0,0,2,0,3.65
Fulmer,1.0,0,0,0,0,0,0,3.10
"López, Jo",1.0,0,0,0,0,1,0,2.69
"Duran, J",1.0,3,1,1,0,0,0,1.89
,9.0,7,4,4,4,9,0,
