PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Detmers(L, 6-6)",4.0,8,5,4,0,2,0,3.88
Mayers,2.1,3,3,2,1,1,1,5.68
Zastryzny,0.2,0,0,0,0,0,0,16.20
Weiss,1.0,0,0,0,0,1,0,2.70
,8.0,11,8,6,1,4,1,
