BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Rengifo2B,5,1,2,0,0,0,2,.274,.747
TroutCF,4,1,1,2,0,2,0,.273,.964
OhtaniDH,5,0,1,2,0,0,2,.270,.888
WardRF,3,0,0,0,1,0,2,.273,.813
Ford1B,3,0,0,0,1,0,2,.205,.610
Duffy3B,4,0,0,0,0,3,3,.249,.615
ThaissC,4,0,0,0,0,3,1,.196,.590
MoniakLF,3,1,1,0,1,1,0,.173,.530
"Soto, LSS",3,1,2,0,1,0,0,.333,.915
,34,4,7,4,4,9,12,,
