BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Lowe, BDH",4,1,1,0,0,1,1,.212,.708
FrancoSS,4,1,1,0,0,1,0,.292,.775
"Ramírez, HRF",3,1,0,0,0,1,1,.286,.689
KiermaierCF,1,0,1,0,0,0,0,.181,.573
Choi1B,4,0,1,1,0,1,2,.262,.801
ArozarenaLF,4,0,1,0,0,1,3,.227,.612
"Mejía, FC",3,0,0,0,0,1,2,.300,.793
Bruján2B,3,0,1,0,0,0,0,.118,.402
"Phillips, BCF-RF",2,0,0,0,0,1,1,.145,.463
Walls3B,3,0,0,0,0,1,1,.181,.576
,31,3,6,1,0,8,11,,
