BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
HummelLF,4,0,2,0,0,0,1,.190,.658
"Smith, PDH",4,0,1,0,0,2,2,.227,.667
LuplowRF,4,1,1,1,0,0,4,.188,.750
"Walker, C1B",4,1,2,1,0,1,2,.219,.794
"Rojas, J3B",4,0,1,0,0,0,1,.235,.576
PerdomoSS,4,1,1,0,0,2,2,.205,.610
"Thomas, ACF",4,0,2,0,0,0,0,.323,.957
Hager2B,4,0,0,1,0,2,2,.000,.125
"Herrera, JC",4,0,1,0,0,1,1,.125,.372
,36,3,11,3,0,8,15,,
