PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Anderson(W, 4-0)",7.0,7,2,2,0,7,2,4.04
Bickford,1.0,2,0,0,0,1,0,2.92
Alberto,1.0,2,1,1,0,0,0,9.00
,9.0,11,3,3,0,8,2,
