PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Bassitt(W, 3-1)",6.0,2,0,0,3,6,0,2.25
"Smith, Dr(H, 5)",1.0,1,0,0,0,1,0,0.00
"Ottavino(H, 1)",1.0,0,0,0,0,2,0,1.29
"Díaz(S, 3)",1.0,0,0,0,1,0,0,2.00
,9.0,3,0,0,4,9,0,
