Season,Team,Pos,PA,Depth (ft.),Angle
2016,HOU,9,5315,283,26
2016,HOU,8,20,304,-3
2017,HOU,8,2671,310,-1
2017,HOU,9,1982,287,26
2018,HOU,9,2130,288,25
2018,HOU,8,2388,312,-1
2018,HOU,7,11,289,-25
2019,HOU,9,1501,287,26
2019,HOU,8,2174,313,0
2020,HOU,9,228,295,24
2020,HOU,8,1420,318,0
2021,TOR,8,1347,319,1
2021,TOR,9,33,287,27
2022,TOR,8,2830,315,0
2022,TOR,9,243,290,25
