PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Stroman,7.2,2,2,2,4,5,0,3.83
"Wick(BS, 4)",0.1,1,1,1,1,1,1,4.29
Rucker,1.0,0,0,0,0,0,0,4.33
Brault,0.2,1,1,0,1,1,0,0.00
"Uelmen(W, 2-1)",1.1,0,1,0,1,2,0,2.77
,11.0,4,5,3,7,9,1,
