BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Madrigal2B,6,1,3,1,0,0,3,.260,.605
ContrerasC,5,1,2,3,1,0,3,.250,.835
HappLF,5,1,0,0,0,3,5,.279,.801
"Suzuki, SRF",5,0,1,0,0,1,1,.241,.717
"Reyes, FDH",3,0,0,1,1,1,1,.230,.657
HoernerSS,4,1,0,0,1,1,2,.296,.763
Wisdom1B-3B,4,1,1,1,1,1,3,.219,.758
McKinstry3B,1,0,0,0,1,0,0,.164,.488
a-HigginsPH-1B,2,0,0,0,0,1,1,.259,.811
MorelCF,3,0,1,0,0,2,1,.258,.788
b-OrtegaPH-CF,0,1,0,0,2,0,0,.230,.674
,38,6,8,6,7,10,20,,
