PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Peralta, F",6.0,4,2,2,3,5,1,4.08
Suter,1.0,1,0,0,0,2,0,3.83
"Bush(H, 11)",1.0,0,0,0,0,2,0,3.20
"Williams, D(BS, 1)",0.2,1,1,1,3,0,0,1.72
Rogers,1.1,0,1,0,0,1,0,4.66
"Strzelecki(L, 1-1)(BS, 1)",0.2,2,2,1,1,0,0,3.00
,10.2,8,6,4,7,10,1,
