Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
FCL Astros,Rookie,August,27,23,3,8,1,1,0,2,2,6,1,0,2,.348,.444,.478,.922
Sugar Land Skeeters,Triple-A,August,15,14,1,1,0,0,0,0,1,5,2,0,0,.071,.133,.071,.204
Sugar Land Skeeters,Triple-A,September,105,95,18,33,4,2,9,18,5,26,3,1,5,.347,.410,.716,1.126
Sugar Land Skeeters,Triple-A,October,13,13,3,1,0,0,1,1,0,4,0,0,0,.077,.077,.308,.385
