Team,Lg,Type,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
FCL Astros,Rookie,Bases Empty,19,16,,5,1,1,0,0,1,5,,,2,.313,.421,.500,.921
Sugar Land Skeeters,Triple-A,Bases Empty,76,70,,22,4,2,7,7,3,19,,,3,.314,.368,.729,1.097
Sugar Land Skeeters,Triple-A,Bases Loaded,3,3,,1,0,0,0,2,0,1,,,0,.333,.333,.333,.666
FCL Astros,Rookie,Runner at 1st,2,2,,2,0,0,0,0,0,0,,,0,1.000,1.000,1.000,2.000
Sugar Land Skeeters,Triple-A,Runner at 1st,23,21,,7,0,0,2,4,1,7,,,1,.333,.391,.619,1.010
FCL Astros,Rookie,Runners at 1st & 2nd,4,4,,1,0,0,0,2,0,1,,,0,.250,.250,.250,.500
Sugar Land Skeeters,Triple-A,Runners at 1st & 2nd,8,7,,1,0,0,0,0,0,2,,,1,.143,.250,.143,.393
FCL Astros,Rookie,Runners at 1st & 3rd,1,1,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Sugar Land Skeeters,Triple-A,Runners at 1st & 3rd,1,1,,0,0,0,0,0,0,0,,,0,.000,.000,.000,.000
Sugar Land Skeeters,Triple-A,Runner at 2nd,13,12,,2,0,0,1,2,1,3,,,0,.167,.231,.417,.648
Sugar Land Skeeters,Triple-A,Runners at 2nd & 3rd,3,3,,2,0,0,0,4,0,1,,,0,.667,.667,.667,1.334
FCL Astros,Rookie,Runner at 3rd,1,0,,0,0,0,0,0,1,0,,,0,.000,1.000,.000,1.000
Sugar Land Skeeters,Triple-A,Runner at 3rd,6,5,,0,0,0,0,0,1,2,,,0,.000,.167,.000,.167
FCL Astros,Rookie,Scoring Position,6,5,,1,0,0,0,2,1,1,,,0,.200,.333,.200,.533
Sugar Land Skeeters,Triple-A,Scoring Position,34,31,,6,0,0,1,8,2,9,,,1,.194,.265,.290,.555
