PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
Strider,3.2,6,6,6,1,4,1,3.40
"Lee, D",1.2,1,0,0,0,0,0,0.68
"O'Day(L, 1-1)",0.0,2,2,2,1,0,0,4.80
"McHugh(BS, 3)",1.2,2,1,1,0,4,1,3.76
Stephens,2.0,3,3,3,2,2,0,3.33
,9.0,14,12,12,4,10,2,
