BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Gonzalez, LRF-LF",3,0,0,1,1,2,0,.302,.808
YastrzemskiCF-RF,4,1,1,2,1,0,1,.257,.800
Longoria3B,4,1,1,0,1,1,1,.213,.721
PedersonLF,4,1,1,1,1,0,1,.271,.912
1-SlaterPR-CF,0,1,0,0,0,0,0,.242,.798
Belt1B,5,1,2,0,0,3,3,.239,.776
Estrada2B-SS,5,1,2,1,0,2,1,.267,.716
La StellaDH,4,2,1,0,0,2,3,.244,.671
"Crawford, BraSS",1,1,1,1,0,0,0,.227,.669
Flores2B,3,1,2,2,0,0,0,.242,.721
WynnsC,4,2,3,4,0,0,0,.320,.890
,37,12,14,12,4,10,10,,
