 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2014,,29,16.8,13.8%,0.0%,8,25.2,0.0%,25.0%
2015,,8,9.7,50.0%,0.0%,9,25.2,0.0%,0.0%
2017,,19,19.0,10.5%,10.5%,7,34.4,0.0%,71.4%
2018,,47,20.1,4.3%,6.4%,32,25.4,0.0%,18.8%
2019,,655,19.4,6.7%,2.9%,415,24.6,0.2%,18.8%
2020,,219,18.8,10.0%,1.8%,174,24.4,0.0%,15.5%
2021,,449,20.7,5.6%,4.5%,276,25.9,0.0%,21.7%
2022,,693,20.2,3.9%,4.8%,511,25.7,0.0%,20.4%
