,,,,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
Arizona Diamondbacks,MLB,vs Left,159,138,,36,9,1,7,18,19,30,,,1,.261,.352,.493,.845
Arizona Diamondbacks,MLB,vs Right,508,445,,105,16,1,29,76,50,101,,,7,.236,.319,.472,.791
