Season,Team,Pos,PA,Depth (ft.),Angle
2017,ARI,3,40,106,36
2018,ARI,3,127,113,33
2018,ARI,7,47,304,-27
2019,ARI,3,4937,111,34
2020,ARI,3,1587,106,32
2021,ARI,3,3775,108,33
2022,AZ,3,5427,109,32
