 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2018,,53,224,-3,-3,0,1,-5
2019,,597,"2,413",3,-25,19,11,8
2020,,243,962,-1,-4,7,3,5
2021,,444,"1,774",-4,-16,8,10,-2
2022,,665,"2,543",3,-21,23,13,19
