Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2017,,23.4,2,1.5,1,0,2,0,0.0
2018,,23.1,3,3.9,-1,0,1,3,100.0
2019,,23.3,29,28.5,1,14,20,12,41.4
2020,,24.6,7,9.7,-3,4,8,4,57.1
2021,,24.5,10,10.2,0,10,8,3,30.0
2022,,25.7,36,36.0,0,18,18,20,55.6
Player,,24.5,87,89.8,-3,46,57,42,48.3
