PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
Darvish,7.0,3,1,1,2,6,0,3.38
"García, L(L, 4-5)",1.0,2,2,2,1,1,1,3.74
"Hill, T",1.0,2,0,0,0,0,0,4.56
,9.0,7,3,3,3,7,1,
