BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichDH,5,1,2,1,0,0,1,.252,.731
AdamesSS,4,0,1,1,1,0,2,.219,.727
Tellez1B,5,1,1,1,0,0,4,.237,.807
McCutchenLF,3,2,1,2,1,0,0,.253,.737
RenfroeRF,4,1,2,2,0,0,0,.249,.821
"Wong, Ko2B",3,0,1,0,1,0,0,.244,.728
"Urías, L3B",3,1,0,0,1,1,3,.223,.705
CaratiniC,4,0,0,0,0,3,2,.215,.706
"Taylor, TCF",4,1,1,0,0,3,0,.222,.686
,35,7,9,7,4,7,12,,
