PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
Waldichuk,4.2,5,1,1,4,6,0,1.93
Payamps,2.0,2,1,1,0,0,0,2.94
"Moll(H, 15)",1.0,0,1,1,0,3,0,2.85
"Puk(BS, 4)",1.1,2,0,0,1,3,0,2.47
"Ruiz, N(L, 0-1)(BS, 1)",0.2,2,4,3,1,1,1,13.50
,9.2,11,7,6,6,13,1,
