PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
"White, M",4.0,7,1,1,0,5,0,3.63
"Cimber(W, 9-4)",1.0,0,0,0,0,2,0,2.98
"Phelps(H, 7)",1.0,1,0,0,0,3,0,2.42
"Bass(H, 19)",1.0,0,0,0,1,1,0,1.36
"Pop(H, 2)",1.0,1,1,1,0,0,1,3.38
"Garcia, Y(S, 1)",1.0,0,0,0,0,0,0,2.74
,9.0,9,2,2,1,11,1,
