PITCHERS - BAL,IP,H,R,ER,BB,SO,HR,ERA
"Wells, T(W, 6-4)",5.0,1,1,1,0,3,1,3.23
Krehbiel,0.2,1,1,1,0,2,0,2.70
"Akin(S, 1)",3.1,1,0,0,2,3,0,2.35
,9.0,3,2,2,2,8,1,
