BATTERS - BAL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
MullinsCF,4,2,2,1,1,0,0,.258,.698
ManciniDH,5,1,1,0,0,1,3,.281,.781
SantanderLF,4,1,1,3,0,0,1,.239,.765
McKennaLF,0,0,0,0,0,0,0,.236,.597
HaysRF,4,1,2,1,0,0,0,.287,.834
RutschmanC,5,1,2,2,0,0,1,.234,.730
Mountcastle1B,4,1,1,1,0,1,2,.271,.789
Odor2B,4,0,1,0,0,2,0,.199,.639
"Martin, Ri2B",0,0,0,0,0,0,0,.179,.554
"Araúz, J3B",4,1,1,0,0,1,1,.136,.403
MateoSS,4,1,1,1,0,1,1,.201,.591
,38,9,12,9,1,6,9,,
