PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
Espino,4.0,4,2,1,2,2,0,4.17
"Harvey, H",1.0,1,0,0,0,1,0,2.97
"Machado, A(W, 2-0)",1.0,2,0,0,0,1,0,3.76
"Edwards Jr.(H, 13)",2.0,3,0,0,1,1,0,2.64
"Finnegan(S, 11)",1.0,0,0,0,0,2,0,3.79
,9.0,10,2,1,3,7,0,
