PITCHERS - NYM,IP,H,R,ER,BB,SO,HR,ERA
"Walker, T",4.0,9,7,6,2,2,2,4.91
Shreve,1.1,2,0,0,0,1,0,1.74
"Medina(W, 1-0)",2.2,1,0,0,0,1,0,0.00
"Díaz(S, 6)",1.0,0,0,0,0,2,0,1.50
,9.0,12,7,6,2,6,2,
