PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Fried(L, 0-1)",3.1,8,6,4,1,2,0,10.80
Chavez,1.1,2,1,1,1,2,0,6.75
"Lee, D",1.0,1,0,0,0,2,0,0.00
McHugh,1.1,0,0,0,0,1,0,0.00
Stephens,2.0,1,0,0,0,2,0,0.00
,9.0,12,7,5,2,9,0,
