BATTERS - PHI,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
SchwarberLF,5,0,0,0,0,1,2,.000,.000
MarshCF,0,0,0,0,0,0,0,.400,1.000
Hoskins1B,5,1,1,0,0,2,1,.071,.214
RealmutoC,5,2,1,0,0,3,2,.182,.490
HarperDH,3,1,3,0,1,0,0,.500,1.483
"Castellanos, NRF",5,1,3,3,0,0,2,.250,.641
Bohm3B,4,0,1,2,0,1,3,.333,1.018
Segura2B,4,1,2,1,0,1,2,.333,.844
VierlingCF-LF,3,0,0,0,0,1,1,.200,.400
"Sosa, ESS",2,1,1,1,1,0,0,.500,1.500
,36,7,12,7,2,9,13,,
