PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
"Cueto(L, 1-4)",5.1,7,3,3,1,7,1,3.19
"López, R",1.2,1,0,0,0,2,0,3.00
"Ruiz, J",1.0,0,0,0,0,1,0,4.78
Lambert,1.0,2,1,1,1,1,0,3.68
,9.0,10,4,4,2,11,1,
