PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
Bumgarner,3.2,11,7,7,0,2,1,4.87
"Frías(W, 1-0)",2.1,0,0,0,1,2,0,7.59
"Smith, C",2.0,0,0,0,2,3,0,4.47
Moronta,1.0,0,0,0,0,1,0,3.86
,9.0,11,7,7,3,8,1,
