PITCHERS - NYY,IP,H,R,ER,BB,SO,HR,ERA
Cortes,6.0,3,1,1,1,5,1,2.68
"Loáisiga(H, 7)",0.1,1,1,1,1,0,0,6.04
"Peralta, Wa(BS, 5)",0.1,1,0,0,1,0,0,2.45
"Trivino(W, 2-7)",2.1,0,0,0,1,1,0,5.27
,9.0,5,2,2,4,6,1,
