 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2019,,281,17.2,23.5%,2.1%,141,22.1,2.1%,6.4%
2020,,161,16.8,27.3%,0.6%,130,22.9,0.8%,10.8%
2021,,633,18.1,19.7%,3.2%,474,23.9,1.3%,14.8%
2022,,671,18.0,18.9%,2.1%,418,23.0,1.9%,11.7%
