,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,693,615,90,168,38,93,2,.273,.349,.528,.877
4 Seasons,1858,1667,246,454,97,276,2,.272,.339,.507,.846
