Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,461",55.3,357,320,85,47,19,1,18,73,247,.266,.284,.500,.561,.365,.395,92.1,15,20.7,18.7
2022,Breaking,871,33.0,247,218,62,31,16,0,15,70,152,.284,.254,.564,.503,.389,.357,92.5,12,36.8,21.1
2022,Offspeed,309,11.7,88,77,21,11,4,1,5,25,52,.273,.269,.545,.490,.391,.370,94.3,8,34.5,25.8
2021,Fastballs,"1,474",56.8,344,299,87,53,18,1,15,74,229,.291,.289,.508,.507,.376,.377,90.3,15,22.9,18.0
2021,Breaking,836,32.2,222,203,62,39,12,0,11,70,136,.305,.267,.527,.500,.371,.346,90.3,14,37.0,22.8
2021,Offspeed,283,10.9,94,88,30,20,3,0,7,24,65,.341,.284,.614,.551,.413,.367,88.9,13,30.5,23.5
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
