 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2019,,294,"1,116",-5,-4,4,4,0
2020,,253,967,-2,-14,4,5,-7
2021,,728,"2,863",2,1,16,14,34
2022,,708,"2,695",21,-19,11,13,25
