,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2019,ATL,NL,80,297,274,41,62,11,1,18,49,16,108,0,2,5,.226,.279,.471,.750
,2020,ATL,NL,51,206,188,24,45,7,1,8,27,16,49,0,0,1,.239,.301,.415,.716
,2021,ATL,NL,160,662,590,91,179,33,1,33,107,52,168,0,1,12,.303,.367,.531,.898
*,2022,ATL,NL,159,693,615,90,168,39,2,38,93,57,168,2,0,17,.273,.349,.528,.877
,4 Seasons,ATL,NL,450,1858,1667,246,454,90,5,97,276,141,493,2,3,35,.272,.339,.507,.846
