BATTERS - NYM,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
NimmoCF,4,1,2,0,0,1,1,.333,.868
"Marte, SRF",4,1,1,0,0,0,3,.222,.541
LindorSS,4,0,1,1,0,0,3,.250,.929
Alonso1B,4,0,0,1,0,0,2,.182,.581
Escobar3B,3,1,1,1,1,0,1,.286,.944
"Davis, JDH",3,0,1,0,1,1,1,.250,.775
CanhaLF,4,0,1,1,0,2,2,.571,1.218
Guillorme2B,3,0,0,0,0,1,4,.000,.111
"a-Smith, DoPH",1,0,0,0,0,1,0,.125,.425
McCannC,3,1,0,0,1,0,0,.111,.444
,33,4,7,4,3,6,17,,
