PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Davidson(L, 2-4)",5.0,6,2,2,3,2,1,6.23
Loup,1.0,1,0,0,0,2,0,4.14
Tepera,1.0,0,0,0,1,0,0,3.68
Wantz,1.0,0,0,0,1,0,0,3.06
,8.0,7,2,2,5,4,1,
