BATTERS - LAA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Fletcher2B-SS,5,0,2,0,0,0,0,.281,.723
TroutDH,4,0,1,1,0,1,1,.269,.947
Rengifo3B-2B,4,0,1,0,0,0,3,.269,.729
WardRF,3,0,0,0,1,1,1,.254,.784
AdellLF,3,0,0,0,1,3,1,.223,.625
Walsh1B,3,0,0,0,1,3,2,.218,.650
SuzukiC,3,0,0,0,1,1,2,.180,.538
"Velazquez, ASS",2,1,2,0,0,0,0,.194,.525
a-OhtaniPH,1,0,0,0,0,1,2,.264,.872
Gosselin3B,0,0,0,0,0,0,0,.155,.372
"b-Rojas, JPH",1,0,0,0,0,1,0,.102,.263
SierraCF,4,0,0,0,0,1,3,.185,.471
,33,1,6,1,4,12,15,,
