BATTERS - TB,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Díaz, Y3B",4,1,3,1,1,0,0,.290,.784
"Ramírez, HDH",5,1,1,0,0,1,5,.314,.791
FrancoSS,2,3,1,0,3,1,2,.261,.709
Paredes1B,5,0,2,1,0,0,4,.254,.903
KiermaierCF,4,1,1,4,1,0,1,.231,.653
ArozarenaLF,4,1,1,0,0,2,2,.256,.721
Walls2B,3,0,0,1,0,1,3,.167,.515
"Pinto, RC",4,1,2,1,0,2,0,.208,.479
"Lowe, JRF",3,0,0,0,1,1,1,.170,.502
,34,8,11,8,6,8,18,,
