PITCHERS - CHC,IP,H,R,ER,BB,SO,HR,ERA
Steele,4.2,4,0,0,1,10,0,3.67
Rucker,1.1,0,0,0,1,1,0,4.55
Uelmen,0.1,1,1,1,0,0,0,4.76
Hughes,1.1,1,0,0,0,2,0,2.90
"Wick(W, 3-5)",1.1,1,0,0,1,0,0,4.23
,9.0,7,1,1,3,13,0,
