PITCHERS - LAA,IP,H,R,ER,BB,SO,HR,ERA
"Barria(L, 1-2)",4.2,3,2,2,4,3,1,2.65
Mayers,3.1,1,0,0,2,4,0,4.50
,8.0,4,2,2,6,7,1,
