BATTERS - SEA,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Frazier2B,3,0,0,0,0,1,1,.248,.625
France1B,3,1,1,2,1,1,0,.307,.859
WinkerLF,1,0,1,0,3,0,0,.229,.705
SantanaDH,4,0,0,0,0,0,6,.204,.687
"Suárez, E3B",4,0,0,0,0,2,0,.230,.749
"Crawford, JSS",4,0,0,0,0,1,0,.259,.696
LambRF,3,0,0,0,1,1,0,.239,.764
HaggertyRF,0,0,0,0,0,0,0,.291,.827
RaleighC,2,0,1,0,1,0,0,.203,.726
KelenicCF,3,1,1,0,0,1,3,.136,.495
,27,2,4,2,6,7,10,,
