PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Wheeler(L, 1-3)",5.1,3,2,2,1,5,0,2.78
"Alvarado(BS, 1)",0.1,1,2,2,1,1,1,5.56
Domínguez,0.1,1,0,0,0,0,0,1.69
Eflin,1.0,1,0,0,0,2,0,3.38
Robertson,1.0,1,0,0,0,1,0,1.17
,8.0,7,4,4,2,9,1,
