PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Manoah,6.0,4,2,1,2,8,0,2.66
"Cimber(L, 9-5)",1.0,2,2,2,0,2,1,3.27
"Richards, T",1.0,0,0,0,0,2,0,4.94
,8.0,6,4,3,2,12,1,
