BATTERS - OAK,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Allen, N2B",3,2,1,0,1,1,0,.232,.645
LaureanoDH,1,2,0,0,2,0,0,.245,.729
Bethancourt1B,2,0,1,1,1,0,0,.248,.687
"Murphy, SC",3,0,0,1,0,1,3,.225,.691
PiscottyRF,3,1,1,1,1,1,2,.213,.648
AndrusSS,3,0,0,0,1,0,3,.225,.648
PinderLF,3,0,1,1,1,0,1,.234,.622
Neuse3B,3,0,0,0,1,2,3,.242,.609
BoltCF,3,0,0,0,0,0,1,.125,.250
,24,5,4,4,8,5,13,,
