BATTERS - SF,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Wade Jr.1B,4,1,1,0,0,2,0,.200,.687
YastrzemskiCF,4,0,1,1,0,1,0,.209,.680
FloresDH,4,0,0,0,0,2,1,.239,.741
PedersonLF,3,0,0,0,0,3,0,.265,.857
Estrada2B,2,0,0,0,0,1,0,.262,.726
"Crawford, BraSS",3,0,0,0,0,1,1,.226,.653
Villar3B,3,0,1,0,0,2,1,.222,.774
"Gonzalez, LRF",3,0,0,0,0,0,1,.253,.691
BartC,3,0,0,0,0,2,0,.225,.700
,29,1,3,1,0,14,4,,
