 , ,Bases Empty, , , ,Runners On Base
Season,Team,Pitches,Tempo,Fast %,Slow %,Pitches,Tempo,Fast %,Slow %
2019,,256,17.0,23.4%,2.0%,145,23.5,0.0%,12.4%
2020,,375,18.4,14.4%,3.5%,181,25.8,0.6%,25.4%
2021,,763,19.6,4.8%,4.6%,367,25.4,0.8%,21.3%
2022,,747,18.8,10.2%,4.0%,431,24.4,0.9%,16.0%
