Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2019,L,184,54,29.3,.290,.372
2020,L,252,180,71.4,.326,.358
2021,L,525,244,46.5,.339,.299
2022,L,522,336,64.4,.280,.279
