Year,Pitch Type,#,%,PA,AB,H,1B,2B,3B,HR,SO,BBE,BA,XBA,SLG,XSLG,WOBA,XWOBA,EV,LA,Whiff%,PutAway%
2022,Fastballs,"1,381",62.2,317,266,53,28,12,0,13,80,194,.199,.225,.391,.411,.310,.329,85.9,15,21.6,20.3
2022,Breaking,506,22.8,120,106,18,12,3,1,2,46,60,.170,.172,.274,.281,.249,.254,81.0,6,33.9,24.7
2022,Offspeed,332,15.0,86,79,12,8,1,1,2,24,56,.152,.176,.266,.261,.214,.225,83.7,10,32.3,24.0
2021,Fastballs,"1,453",67.0,336,286,62,37,16,2,7,76,212,.217,.236,.360,.376,.306,.325,87.4,13,20.5,19.2
2021,Breaking,454,20.9,111,104,29,18,4,1,6,28,76,.279,.253,.510,.372,.354,.295,88.0,9,23.4,16.7
2021,Offspeed,261,12.0,78,72,21,11,8,0,2,15,60,.292,.242,.486,.330,.334,.262,87.5,8,25.2,19.0
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
