Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2019,,20.8,6,4.2,2,5,2,3,50.0
2020,,22.0,10,12.5,-3,2,6,8,80.0
2021,,21.1,15,12.4,3,8,10,5,33.3
2022,,21.3,20,19.9,0,9,15,8,40.0
Player,,21.3,51,49.0,2,24,33,24,47.1
