PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
"Jefferies(L, 1-3)",4.0,4,5,5,2,3,1,3.26
Puk,2.0,0,0,0,0,1,0,1.23
Lemoine,0.2,3,3,3,1,2,1,5.63
Kolarek,1.1,0,0,0,0,0,0,6.35
,8.0,7,8,8,3,6,2,
