PITCHERS - CWS,IP,H,R,ER,BB,SO,HR,ERA
Cease,6.0,4,1,1,3,3,0,2.13
"Lambert(H, 8)",0.1,0,2,2,2,0,0,3.09
"Bummer(BS, 3)",0.2,3,0,0,0,0,0,2.82
"López, R",1.0,0,0,0,0,0,0,2.83
Hendriks,1.0,0,0,0,0,1,0,3.02
Graveman,1.0,1,2,1,1,0,0,2.92
"Diekman(L, 5-4)",1.0,3,5,3,1,1,0,4.56
,11.0,11,10,7,7,5,0,
