PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
Civale,5.0,4,2,2,1,2,0,5.29
"Sandlin(BS, 3)",1.0,1,1,0,0,2,0,2.20
Stephan,1.0,1,0,0,0,1,0,2.75
Karinchak,1.0,0,0,0,0,2,0,1.67
"De Los Santos, E",1.0,0,0,0,0,1,0,3.10
"Clase(W, 3-4)(BS, 4)",1.0,2,2,1,0,1,0,1.39
Shaw,1.0,2,2,1,0,1,1,5.43
,11.0,10,7,4,1,10,1,
