PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Dunning(L, 3-8)",4.0,8,5,5,3,2,1,4.37
King,3.0,3,0,0,0,1,0,4.30
"Hernández, J",1.0,1,0,0,1,2,0,3.63
,8.0,12,5,5,4,5,1,
