PITCHERS - MIN,IP,H,R,ER,BB,SO,HR,ERA
"Mahle(L, 6-8)",2.0,5,4,4,0,0,1,4.40
"Sanchez, Aa",5.0,3,3,3,2,4,1,6.98
Gordon,0.2,5,6,6,2,0,1,22.09
Palacios,0.1,0,0,0,0,1,0,0.00
,8.0,13,13,13,4,5,3,
