PITCHERS - AZ,IP,H,R,ER,BB,SO,HR,ERA
Gallen,8.0,2,1,1,0,13,0,2.46
"Moronta(L, 1-1)(H, 4)",0.1,2,2,2,1,0,0,4.28
"Mantiply(BS, 5)",0.1,2,0,0,0,1,0,2.78
,8.2,6,3,3,1,14,0,
