PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Urías, J",5.1,3,1,0,1,5,0,2.20
"Phillips, E",0.2,0,0,0,0,2,0,1.24
Vesia,1.0,0,0,0,0,3,0,2.26
Graterol,1.0,0,0,0,0,1,0,2.96
"Kimbrel(W, 6-6)",1.0,1,1,1,1,1,1,4.14
,9.0,4,2,1,2,12,1,
